"trial_num","trial_num_in_block","Initiation.Time","participant_num"
100,16,0.444444444444444,"40"
101,17,0.422222222222222,"40"
102,18,0.455555555555556,"40"
103,19,0.388888888888889,"40"
104,20,0.5,"40"
105,21,0.5,"40"
106,22,0.466666666666667,"40"
107,23,0.455555555555556,"40"
108,24,0.322222222222222,"40"
109,25,0.566666666666667,"40"
110,26,0.477777777777778,"40"
111,27,0.544444444444444,"40"
112,28,0.511111111111111,"40"
113,29,0.366666666666667,"40"
114,30,0.455555555555556,"40"
115,31,0.4,"40"
116,32,0.388888888888889,"40"
117,33,0.8,"40"
118,34,0.411111111111111,"40"
119,35,0.733333333333333,"40"
120,36,0.466666666666667,"40"
121,37,0.511111111111111,"40"
122,38,0.477777777777778,"40"
123,39,0.433333333333333,"40"
124,40,0.655555555555556,"40"
125,1,0.777777777777778,"40"
126,2,0.488888888888889,"40"
127,3,0.566666666666667,"40"
128,4,0.555555555555556,"40"
129,5,0.433333333333333,"40"
130,6,0.6,"40"
131,7,0.455555555555556,"40"
132,8,0.277777777777778,"40"
133,9,0.311111111111111,"40"
134,10,0.511111111111111,"40"
135,11,0.422222222222222,"40"
136,12,0.355555555555556,"40"
137,13,0.455555555555556,"40"
138,14,0.455555555555556,"40"
139,15,0.366666666666667,"40"
140,16,0.3,"40"
141,17,0.422222222222222,"40"
142,18,0.288888888888889,"40"
143,19,1.11111111111111,"40"
144,20,0.6,"40"
145,21,0.488888888888889,"40"
146,22,0.422222222222222,"40"
147,23,0.522222222222222,"40"
148,24,0.477777777777778,"40"
149,25,0.466666666666667,"40"
150,26,0.355555555555556,"40"
151,27,0.344444444444444,"40"
152,28,0.466666666666667,"40"
153,29,0.366666666666667,"40"
154,30,0.455555555555556,"40"
155,31,0.4,"40"
156,32,0.277777777777778,"40"
157,33,0.555555555555556,"40"
158,34,0.344444444444444,"40"
159,35,0.411111111111111,"40"
160,36,0.4,"40"
161,37,0.5,"40"
162,38,0.488888888888889,"40"
163,39,0.411111111111111,"40"
164,40,0.422222222222222,"40"
165,1,0.477777777777778,"40"
166,2,0.411111111111111,"40"
167,3,0.488888888888889,"40"
168,4,0.488888888888889,"40"
169,5,0.5,"40"
170,6,0.422222222222222,"40"
171,7,0.477777777777778,"40"
172,8,0.477777777777778,"40"
173,9,0.455555555555556,"40"
174,10,0.611111111111111,"40"
175,11,0.388888888888889,"40"
176,12,0.455555555555556,"40"
177,13,0.466666666666667,"40"
178,14,0.488888888888889,"40"
179,15,0.477777777777778,"40"
180,16,0.4,"40"
181,17,0.411111111111111,"40"
182,18,0.477777777777778,"40"
183,19,0.511111111111111,"40"
184,20,0.444444444444444,"40"
185,21,0.355555555555556,"40"
186,22,0.444444444444444,"40"
187,23,0.422222222222222,"40"
188,24,0.488888888888889,"40"
189,25,0.433333333333333,"40"
190,26,0.444444444444444,"40"
191,27,0.555555555555556,"40"
192,28,0.511111111111111,"40"
193,29,0.466666666666667,"40"
194,30,0.466666666666667,"40"
195,31,0.466666666666667,"40"
196,32,0.377777777777778,"40"
197,33,0.388888888888889,"40"
198,34,0.433333333333333,"40"
199,35,0.444444444444444,"40"
200,36,0.366666666666667,"40"
201,37,0.477777777777778,"40"
202,38,0.488888888888889,"40"
203,39,0.288888888888889,"40"
204,40,0.322222222222222,"40"
